,Date,Open,High,Low,Close,Adj Close,Volume,Ticker
0,2012-12-01,84.807144,84.941429,71.604286,76.024284,66.936584,3033188200,AAPL
1,2013-01-01,79.117142,79.285713,62.14285699999999,65.07,57.291748,3280855900,AAPL
2,2013-02-01,65.58714300000001,69.27714499999999,62.52285799999999,63.057143999999994,55.519496999999994,2336008500,AAPL
3,2013-03-01,62.57143000000001,67.135712,59.85714300000001,63.237143999999994,56.00246800000001,2294219200,AAPL
4,2013-04-01,63.128570999999994,63.60714300000001,55.014286,63.254284,56.017647,2740872400,AAPL
5,2013-05-01,63.494285999999995,66.535713,59.842856999999995,64.247147,56.896927000000005,2361882600,AAPL
6,2013-06-01,64.389999,64.918571,55.552856000000006,56.647144,50.498455,1754634000,AAPL
7,2013-07-01,57.527142000000005,65.334282,57.317142000000004,64.647141,57.630104,1634528700,AAPL
8,2013-08-01,65.10714,73.391426,64.751427,69.602859,62.047931999999996,2014584600,AAPL
9,2013-09-01,70.442856,72.559998,63.888573,68.10714,61.115425,2157735300,AAPL
10,2013-10-01,68.349998,77.035713,68.325714,74.671425,67.005836,1959433000,AAPL
11,2013-11-01,74.860001,79.761429,73.197144,79.438568,71.2836,1306288900,AAPL
12,2013-12-01,79.714287,82.16285699999999,76.971428,80.145714,72.338036,1764349300,AAPL
13,2014-01-01,79.382858,80.028572,70.507141,71.514282,64.547462,2191488600,AAPL
14,2014-02-01,71.80143000000001,78.74143199999999,71.328575,75.177139,67.85347,1470091700,AAPL
15,2014-03-01,74.774284,78.428574,74.687141,76.677139,69.621613,1250424700,AAPL
16,2014-04-01,76.822861,85.632858,73.04714200000001,84.298569,76.541756,1608765200,AAPL
17,2014-05-01,84.571426,92.024284,82.904289,90.428574,82.107712,1433917100,AAPL
18,2014-06-01,90.565712,95.050003,88.928574,92.93,84.85022,1206934800,AAPL
19,2014-07-01,93.519997,99.440002,92.57,95.599998,87.28808599999999,1035086000,AAPL
20,2014-08-01,94.900002,102.900002,93.279999,102.5,93.588165,937077000,AAPL
21,2014-09-01,103.059998,103.739998,96.139999,100.75,92.44787600000001,1526420000,AAPL
22,2014-10-01,100.589996,108.040001,95.18,108.0,99.100471,1360280200,AAPL
23,2014-11-01,108.220001,119.75,107.720001,118.93,109.129799,820408200,AAPL
24,2014-12-01,118.809998,119.25,106.260002,110.379997,101.723541,1073594600,AAPL
25,2015-01-01,111.389999,120.0,104.629997,117.160004,107.971832,1305263400,AAPL
26,2015-02-01,118.050003,133.600006,116.08000200000001,128.46000700000002,118.385651,1136535200,AAPL
27,2015-03-01,129.25,130.279999,121.629997,124.43,115.124252,1138642100,AAPL
28,2015-04-01,124.82,134.53999299999998,123.099998,125.150002,115.790398,996135500,AAPL
29,2015-05-01,126.099998,132.970001,123.360001,130.279999,120.53676599999999,954152100,AAPL
30,2015-06-01,130.279999,131.389999,124.480003,125.43,116.534195,878606700,AAPL
31,2015-07-01,126.900002,132.970001,119.220001,121.300003,112.69710500000001,1058280600,AAPL
32,2015-08-01,121.5,122.57,92.0,112.91999799999999,104.91146100000002,1786858800,AAPL
33,2015-09-01,110.150002,116.889999,107.360001,110.300003,102.941124,1206547300,AAPL
34,2015-10-01,109.07,121.220001,107.309998,119.5,111.527328,1112512100,AAPL
35,2015-11-01,120.800003,123.82,111.0,118.300003,110.407394,750640600,AAPL
36,2015-12-01,118.75,119.860001,104.82,105.260002,98.657883,921915200,AAPL
37,2016-01-01,102.610001,105.849998,92.389999,97.339996,91.23465,1271848000,AAPL
38,2016-02-01,96.470001,98.889999,92.589996,96.690002,90.625412,810862600,AAPL
39,2016-03-01,97.650002,110.41999799999999,97.41999799999999,108.989998,102.708244,746049600,AAPL
40,2016-04-01,108.779999,112.389999,92.510002,93.739998,88.337189,872383700,AAPL
41,2016-05-01,93.970001,100.730003,89.470001,99.860001,94.104469,900671500,AAPL
42,2016-06-01,99.019997,101.889999,91.5,95.599998,90.638489,779497700,AAPL
43,2016-07-01,95.489998,104.550003,94.370003,104.209999,98.801666,685779600,AAPL
44,2016-08-01,104.410004,110.230003,104.0,106.099998,100.593552,630128500,AAPL
45,2016-09-01,106.139999,116.18,102.529999,113.050003,107.763504,968015600,AAPL
46,2016-10-01,112.709999,118.690002,112.279999,113.540001,108.23058300000001,686914300,AAPL
47,2016-11-01,113.459999,113.769997,104.08000200000001,110.519997,105.351799,721555000,AAPL
48,2016-12-01,110.370003,118.019997,108.25,115.82,110.97081000000001,608771700,AAPL
49,2017-01-01,115.800003,122.440002,114.760002,121.349998,116.26925700000001,563122000,AAPL
50,2017-02-01,127.029999,137.479996,127.010002,136.990005,131.25444,574968600,AAPL
51,2017-03-01,137.889999,144.5,137.050003,143.66000400000001,138.241959,561628400,AAPL
52,2017-04-01,143.71000700000002,145.46000700000002,140.059998,143.649994,138.23233000000002,373304100,AAPL
53,2017-05-01,145.100006,156.649994,144.270004,152.759995,146.998749,653981800,AAPL
54,2017-06-01,153.169998,155.979996,142.199997,144.020004,139.160446,684178100,AAPL
55,2017-07-01,144.880005,153.990005,142.41000400000001,148.729996,143.711487,422011900,AAPL
56,2017-08-01,149.100006,164.520004,148.41000400000001,164.0,158.466263,661069000,AAPL
57,2017-09-01,164.800003,164.940002,149.16000400000001,154.119995,149.50444,680374100,AAPL
58,2017-10-01,154.259995,169.649994,152.46000700000002,169.03999299999998,163.977585,504291300,AAPL
59,2017-11-01,169.869995,176.240005,165.279999,171.850006,166.703461,600663400,AAPL
0,2012-12-01,56.09,58.349998,55.470001,57.48,52.137589,103366200,AXP
1,2013-01-01,58.330002,61.970001,58.310001,58.810001,53.343982999999994,122718400,AXP
2,2013-02-01,59.330002,63.0,59.209998999999996,62.150002,56.570377,107254600,AXP
3,2013-03-01,61.84,67.480003,61.509997999999996,67.459999,61.403679000000004,101367800,AXP
4,2013-04-01,67.41999799999999,69.050003,63.43,68.410004,62.268364,121827000,AXP
5,2013-05-01,68.25,77.389999,68.160004,75.709999,69.11737099999999,121571700,AXP
